CODFILIAL,SEGMENTO,CATEGORIA,CATEGORIA2,FATURAMENTO,MARGEM,Mes
13,FLV NACIONAIS,VAGEM,LEGUMES - ORGANICOS,18,75.585%,Fev
05,FLV NACIONAIS,VAGEM,LEGUMES - ORGANICOS,46.4,24.1379310344828%,Fev
13,SEGMENTO ORGANICOS,VAGEM,LEGUMES - ORGANICOS,64.8,30.8884722222222%,Mar
04,SEGMENTO ORGANICOS,VAGEM,LEGUMES - ORGANICOS,80.85,54.2389857761286%,Fev
23,FLV NACIONAIS,VAGEM,FRUTAS/FRUTOS,100,-15%,Mar
04,SEGMENTO ORGANICOS,VAGEM,FRUTAS/FRUTOS,119,43.1388739495798%,Jan
23,FLV NACIONAIS,VAGEM,FRUTAS/FRUTOS,166,17.710843373494%,Fev
15,FLV NACIONAIS,VAGEM,FRUTAS/FRUTOS,260,7.69230769230769%,Mar
23,FLV NACIONAIS,VAGEM,FRUTAS/FRUTOS,283,27.4734982332155%,Jan
21,FLV NACIONAIS,VAGEM,FRUTAS/FRUTOS,297,38.3015892255892%,Fev
11,FLV NACIONAIS,VAGEM,FRUTAS/FRUTOS,364.8,41.7763157894737%,Jan
02,FLV NACIONAIS,VAGEM,FRUTAS/FRUTOS,408,26.4705882352941%,Jan
15,FLV NACIONAIS,VAGEM,FRUTAS/FRUTOS,420,21.4285714285714%,Jan
02,FLV NACIONAIS,VAGEM,FRUTAS/FRUTOS,475.7,21.168803867984%,Mar
11,FLV NACIONAIS,VAGEM,FRUTAS/FRUTOS,602.8,21.5262110152621%,Mar
13,FLV NACIONAIS,VAGEM,FRUTAS/FRUTOS,666,42.366481981982%,Abr
16,FLV NACIONAIS,VAGEM,FRUTAS/FRUTOS,690,21.7391304347826%,Abr
10,FLV NACIONAIS,VAGEM,FRUTAS/FRUTOS,694.1,3.10196369399222%,Abr
11,FLV NACIONAIS,VAGEM,FRUTAS/FRUTOS,718,41.3927576601671%,Fev
13,FLV NACIONAIS,VAGEM,FRUTAS/FRUTOS,956.3,-15.6304925232668%,Fev
13,SEGMENTO ORGANICOS,VAGEM,LEGUMES - ORGANICOS,1219.6,47.0829345687111%,Jan
21,FLV NACIONAIS,VAGEM,FRUTAS/FRUTOS,1249.5,44.008175270108%,Jan
09,FLV NACIONAIS,VAGEM,FRUTAS/FRUTOS,1598.35,27.3880989770701%,Abr
13,SEGMENTO ORGANICOS,VAGEM,LEGUMES - ORGANICOS,1639.4,51.280809442479%,Fev
13,FLV NACIONAIS,VAGEM,FRUTAS/FRUTOS,2032.2,41.3760412360988%,Jan
13,FLV NACIONAIS,VAGEM,FRUTAS/FRUTOS,2496,20.0959202724359%,Mar
10,FLV NACIONAIS,VAGEM,FRUTAS/FRUTOS,2949.03,33.1003760558556%,Jan
10,FLV NACIONAIS,VAGEM,FRUTAS/FRUTOS,2955.63,13.073047032274%,Fev
05,FLV NACIONAIS,VAGEM,FRUTAS/FRUTOS,5906.4,47.1212554178518%,Abr
04,FLV NACIONAIS,VAGEM,FRUTAS/FRUTOS,6462.46,35.2357920977461%,Abr
10,FLV NACIONAIS,VAGEM,FRUTAS/FRUTOS,7515.55,48.2867209984632%,Mar
09,FLV NACIONAIS,VAGEM,FRUTAS/FRUTOS,9671.94,29.4924042125985%,Mar
09,FLV NACIONAIS,VAGEM,FRUTAS/FRUTOS,10596.2,34.3266367188237%,Jan
09,FLV NACIONAIS,VAGEM,FRUTAS/FRUTOS,11237.24,28.6672787090069%,Fev
05,FLV NACIONAIS,VAGEM,FRUTAS/FRUTOS,23944.68,40.7657689307187%,Jan
05,FLV NACIONAIS,VAGEM,FRUTAS/FRUTOS,25122.28,33.4674498492971%,Fev
04,FLV NACIONAIS,VAGEM,FRUTAS/FRUTOS,29000.29,40.704978157115%,Jan
05,FLV NACIONAIS,VAGEM,FRUTAS/FRUTOS,29139.2,32.6551723451571%,Mar
04,FLV NACIONAIS,VAGEM,FRUTAS/FRUTOS,35446.5,46.1028916254073%,Fev
04,FLV NACIONAIS,VAGEM,FRUTAS/FRUTOS,37046.75,39.2414857983494%,Mar
13,SEGMENTO ORGANICOS,UVA,FRUTAS/FRUTOS,9,21.1111111111111%,Mar
13,SEGMENTO ORGANICOS,UVA,FRUTAS/FRUTOS,16,25.5055%,Fev
13,SEGMENTO ORGANICOS,UVA,FRUTAS/FRUTOS,40,45.144775%,Jan
13,SEGMENTO ORGANICOS,UVA,FRUTAS/FRUTOS - ORGANICOS,90,14.9881333333333%,Abr
12,FLV IMPORTADOS,UVA,FRUTAS/FRUTOS,110,17.3123272727273%,Mar
13,SEGMENTO ORGANICOS,UVA,FRUTAS/FRUTOS - ORGANICOS,272,2.20588235294118%,Jan
23,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,308,18.2774805194805%,Abr
04,SEGMENTO ORGANICOS,UVA,FRUTAS/FRUTOS,356,26.840904494382%,Jan
13,SEGMENTO ORGANICOS,UVA,FRUTAS/FRUTOS - ORGANICOS,620,22.6320080645161%,Mar
16,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,1051,14.8430066603235%,Abr
13,SEGMENTO ORGANICOS,UVA,FRUTAS/FRUTOS - ORGANICOS,1281,25.0300952380952%,Fev
13,FLV IMPORTADOS,UVA,FRUTAS/FRUTOS,1320,14.7709356060606%,Jan
12,FLV IMPORTADOS,UVA,FRUTAS/FRUTOS,3125,3.552%,Abr
23,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,3358.3,7.20870589286245%,Jan
21,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,3559,6.99892413599325%,Mar
11,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,3609,16.6456655583264%,Abr
16,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,4469.6,2.05593766780026%,Jan
11,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,4572.68,33.7083882974536%,Jan
16,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,4629.75,11.4244192450996%,Fev
16,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,4753,12.7834216284452%,Mar
23,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,7693.33,19.5245530868948%,Mar
23,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,7937.13,15.2106436457511%,Fev
12,FLV IMPORTADOS,UVA,FRUTAS/FRUTOS,8205,6.4594759293114%,Jan
02,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,10443,13.8500810112037%,Abr
13,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,12206.5,23.7312049317986%,Abr
11,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,13044,40.3632086783195%,Fev
24,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,13413.8,23.7814242794734%,Jan
15,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,15371,25.7518419100904%,Abr
24,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,19837,29.3559119826587%,Abr
24,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,22739,33.7299333743789%,Fev
15,FLV NACIONAIS,UVA,FRUTAS/FRUTOS,26632,12.4870559852809%,Jan
