CATEGORIA,CATEGORIA2,SEGMENTO,Mes,FATURAMENTO,MARGEM
ABACATE,FRUTAS/FRUTOS,FLV IMPORTADOS,Jan,750.0,-0.11
ABACATE,FRUTAS/FRUTOS,FLV NACIONAIS,Abr,137023.59999999998,0.3
ABACATE,FRUTAS/FRUTOS,FLV NACIONAIS,Fev,604445.19,0.24
ABACATE,FRUTAS/FRUTOS,FLV NACIONAIS,Jan,751106.1699999997,0.24
ABACATE,FRUTAS/FRUTOS,FLV NACIONAIS,Mar,700612.4400000001,0.25
ABACATE,FRUTAS/FRUTOS,SEGMENTO ORGANICOS,Jan,184.0,0.31
ABACATE,FRUTAS/FRUTOS,SEGMENTO ORGANICOS,Mar,198.0,0.25
ABACATE,FRUTAS/FRUTOS - ORGANICOS,FLV NACIONAIS,Fev,439.3,0.21
ABACATE,FRUTAS/FRUTOS - ORGANICOS,FLV NACIONAIS,Jan,56.1,0.4
ABACATE,FRUTAS/FRUTOS - ORGANICOS,FLV NACIONAIS,Mar,250.0,0.25
ABACATE,FRUTAS/FRUTOS - ORGANICOS,SEGMENTO ORGANICOS,Abr,518.35,0.5
ABACATE,FRUTAS/FRUTOS - ORGANICOS,SEGMENTO ORGANICOS,Fev,2381.4999999999995,0.15
ABACATE,FRUTAS/FRUTOS - ORGANICOS,SEGMENTO ORGANICOS,Jan,3722.65,0.18
ABACATE,FRUTAS/FRUTOS - ORGANICOS,SEGMENTO ORGANICOS,Mar,4925.8,0.38
ABACAXI,CONSERVAS,ALIMENTOS INDUSTRIALIZADOS,Fev,-1923.5099999999966,0.57
ABACAXI,CONSERVAS,ALIMENTOS INDUSTRIALIZADOS,Jan,19302.14999999999,0.44
ABACAXI,CONSERVAS,ALIMENTOS INDUSTRIALIZADOS,Mar,11517.769999999995,0.42
ABACAXI,FRUTAS/FRUTOS,FLV IMPORTADOS,Jan,600.0,0.21
ABACAXI,FRUTAS/FRUTOS,FLV NACIONAIS,Abr,340731.81,0.16
ABACAXI,FRUTAS/FRUTOS,FLV NACIONAIS,Fev,1649443.4299999997,0.1
ABACAXI,FRUTAS/FRUTOS,FLV NACIONAIS,Jan,1866506.2600000005,0.24
ABACAXI,FRUTAS/FRUTOS,FLV NACIONAIS,Mar,1472930.1099999996,0.14
ABACAXI,FRUTAS/FRUTOS,SEGMENTO ORGANICOS,Jan,101.43,0.23
ABACAXI,FRUTAS/FRUTOS,SEGMENTO ORGANICOS,Mar,162.0,0.25
ABACAXI,FRUTAS/FRUTOS - ORGANICOS,FLV NACIONAIS,Mar,422.5,0.32
ABACAXI,FRUTAS/FRUTOS - ORGANICOS,SEGMENTO ORGANICOS,Abr,970.0,0.35
ABACAXI,FRUTAS/FRUTOS - ORGANICOS,SEGMENTO ORGANICOS,Fev,161.0,0.34
ABACAXI,FRUTAS/FRUTOS - ORGANICOS,SEGMENTO ORGANICOS,Jan,1051.5,0.37
ABACAXI,FRUTAS/FRUTOS - ORGANICOS,SEGMENTO ORGANICOS,Mar,1699.5,0.35
ABOBORA,FRUTAS/FRUTOS,FLV IMPORTADOS,Mar,4104.0,0.28
ABOBORA,FRUTAS/FRUTOS,FLV NACIONAIS,Abr,20548.44,0.36
ABOBORA,FRUTAS/FRUTOS,FLV NACIONAIS,Fev,82430.56999999999,0.38
ABOBORA,FRUTAS/FRUTOS,FLV NACIONAIS,Jan,58460.530000000006,0.22
ABOBORA,FRUTAS/FRUTOS,FLV NACIONAIS,Mar,77308.79999999999,0.45
ABOBORA,FRUTAS/FRUTOS - ORGANICOS,FLV NACIONAIS,Fev,208.55,0.57
ABOBORA,FRUTAS/FRUTOS - ORGANICOS,FLV NACIONAIS,Jan,184.5,0.39
ABOBORA,FRUTAS/FRUTOS - ORGANICOS,FLV NACIONAIS,Mar,217.6,0.59
ABOBORA,FRUTAS/FRUTOS - ORGANICOS,SEGMENTO ORGANICOS,Abr,19.5,0.46
ABOBORA,FRUTAS/FRUTOS - ORGANICOS,SEGMENTO ORGANICOS,Fev,2743.3500000000004,0.99
ABOBORA,FRUTAS/FRUTOS - ORGANICOS,SEGMENTO ORGANICOS,Jan,1312.7,0.77
ABOBORA,FRUTAS/FRUTOS - ORGANICOS,SEGMENTO ORGANICOS,Mar,4322.75,0.93
ABOBRINHA,FRUTAS/FRUTOS,FLV NACIONAIS,Abr,28880.119999999995,0.38
ABOBRINHA,FRUTAS/FRUTOS,FLV NACIONAIS,Fev,169831.5,0.3
ABOBRINHA,FRUTAS/FRUTOS,FLV NACIONAIS,Jan,166977.0000000002,0.28
ABOBRINHA,FRUTAS/FRUTOS,FLV NACIONAIS,Mar,184885.80000000002,0.35
ABOBRINHA,FRUTAS/FRUTOS,SEGMENTO ORGANICOS,Jan,11.5,0.47
ABOBRINHA,FRUTAS/FRUTOS,SEGMENTO ORGANICOS,Mar,17.5,0.69
ABOBRINHA,VERDURAS - ORGANICAS,FLV NACIONAIS,Abr,53.6,0.33
ABOBRINHA,VERDURAS - ORGANICAS,FLV NACIONAIS,Fev,140.0,0.32
ABOBRINHA,VERDURAS - ORGANICAS,FLV NACIONAIS,Jan,236.0,0.33
ABOBRINHA,VERDURAS - ORGANICAS,FLV NACIONAIS,Mar,750.9300000000001,0.38
ABOBRINHA,VERDURAS - ORGANICAS,SEGMENTO ORGANICOS,Abr,36.179999999999964,1.04
ABOBRINHA,VERDURAS - ORGANICAS,SEGMENTO ORGANICOS,Fev,5105.87,0.5
ABOBRINHA,VERDURAS - ORGANICAS,SEGMENTO ORGANICOS,Jan,2989.13,0.54
ABOBRINHA,VERDURAS - ORGANICAS,SEGMENTO ORGANICOS,Mar,12713.54,0.46
ACELGA,VERDURAS,FLV NACIONAIS,Abr,18585.989999999998,0.33
ACELGA,VERDURAS,FLV NACIONAIS,Fev,60675.71999999999,0.17
ACELGA,VERDURAS,FLV NACIONAIS,Jan,45953.71999999996,0.34
ACELGA,VERDURAS,FLV NACIONAIS,Mar,81849.59000000004,0.24
ACELGA,VERDURAS,SEGMENTO ORGANICOS,Jan,9.0,0.33
ACELGA,VERDURAS - ORGANICAS,FLV NACIONAIS,Fev,14.0,0.29
ACELGA,VERDURAS - ORGANICAS,FLV NACIONAIS,Mar,48.5,0.45
ACELGA,VERDURAS - ORGANICAS,SEGMENTO ORGANICOS,Fev,2638.2699999999995,0.49
ACELGA,VERDURAS - ORGANICAS,SEGMENTO ORGANICOS,Jan,1449.87,0.51
ACELGA,VERDURAS - ORGANICAS,SEGMENTO ORGANICOS,Mar,1224.35,0.46
ACEROLA,FRUTAS/FRUTOS,FLV NACIONAIS,Fev,202.69,0.4
ACEROLA,FRUTAS/FRUTOS,SEGMENTO ORGANICOS,Abr,66.56,0.69
ACEROLA,FRUTAS/FRUTOS,SEGMENTO ORGANICOS,Fev,201.32,0.34
ACEROLA,FRUTAS/FRUTOS,SEGMENTO ORGANICOS,Jan,212.44,0.45
ACEROLA,FRUTAS/FRUTOS,SEGMENTO ORGANICOS,Mar,181.28,0.49
AGRIAO,VERDURAS,FLV NACIONAIS,Abr,877.4,0.37
AGRIAO,VERDURAS,FLV NACIONAIS,Fev,2209.2,0.34
AGRIAO,VERDURAS,FLV NACIONAIS,Jan,3149.5,0.33
AGRIAO,VERDURAS,FLV NACIONAIS,Mar,4401.800000000001,0.3
AGRIAO,VERDURAS,SEGMENTO ORGANICOS,Mar,6.3,0.29
AIPIM,TUBERCULOS,FLV NACIONAIS,Jan,60.0,0.0
ALCACHOFRA,PLANTAS,FLV NACIONAIS,Fev,282.5,0.42
ALCACHOFRA,PLANTAS,FLV NACIONAIS,Jan,785.0,0.26
ALCACHOFRA,PLANTAS,FLV NACIONAIS,Mar,60.0,0.2
ALECRIM,PLANTAS,FLV NACIONAIS,Abr,734.1399999999999,0.33
ALECRIM,PLANTAS,FLV NACIONAIS,Fev,138.0,0.33
ALECRIM,PLANTAS,FLV NACIONAIS,Jan,327.0,0.26
ALECRIM,PLANTAS,FLV NACIONAIS,Mar,1643.6599999999999,0.34
ALECRIM,TEMPEROS,FLV NACIONAIS,Abr,453.6,0.1
ALECRIM,TEMPEROS,FLV NACIONAIS,Fev,1476.0,0.25
ALECRIM,TEMPEROS,FLV NACIONAIS,Jan,1046.0,0.13
ALECRIM,TEMPEROS,FLV NACIONAIS,Mar,1259.0999999999997,0.16
ALFACE,VERDURAS,FLV NACIONAIS,Abr,9201.55,0.25
