CODFILIAL,SEGMENTO,FATURAMENTO,MARGEM,CLIENTE,Mes
10,FLV NACIONAIS,5148512.09,28.5774015100691%,SDB COMERCIO DE ALIM,Jan
10,FLV NACIONAIS,4732956.29,25.707430082008%,SDB COMERCIO DE ALIM,Mar
10,FLV NACIONAIS,4502084.88,26.2718466944644%,SDB COMERCIO DE ALIM,Fev
04,FLV NACIONAIS,2692393.97,24.1896087896559%,NO PONTO,Mar
03,FLV NACIONAIS,2593435.4,4.38553433796731%,COMPER,Mar
10,FLV NACIONAIS,2550223.39,28.8600281450964%,COMPER,Jan
04,FLV NACIONAIS,2210175.66,22.562712656552%,NO PONTO,Jan
03,FLV NACIONAIS,2204786.6,2.91511205664984%,COMPER,Jan
10,FLV NACIONAIS,2195307.69,26.7737870318603%,COMPER,Mar
10,FLV NACIONAIS,2184408.02,27.3426384688972%,COMPER,Fev
03,FLV NACIONAIS,2106943,3.20312414716487%,COMPER,Fev
04,FLV NACIONAIS,2076467.45,25.3158678892155%,NO PONTO,Fev
10,FLV NACIONAIS,1581182.05,34.6955783645505%,SUPERMERCADOS SCHMIT,Jan
04,FLV NACIONAIS,1271783.8,23.4196495062306%,ITALO SUPERMERCADOS,Mar
10,FLV NACIONAIS,1226567.93,19.1541165124213%,SDB COMERCIO DE ALIM,Abr
10,FLV NACIONAIS,1195314.64,32.1696693394634%,SUPERMERCADOS SCHMIT,Fev
04,FLV NACIONAIS,1100155.46,22.5248862811519%,ITALO SUPERMERCADOS,Jan
04,FLV NACIONAIS,1013213.48,24.4265495741948%,ITALO SUPERMERCADOS,Fev
10,FLV NACIONAIS,980903.06,28.6512373503908%,SUPERMERCADOS SCHMIT,Mar
10,FLV NACIONAIS,965826.89,27.7022432024817%,SDB COMERCIO,Jan
04,FLV NACIONAIS,878681.62,28.1580382435763%,CENTER SUPERMERCADOS,Mar
10,FLV NACIONAIS,849969.95,25.3414240574446%,SDB COMERCIO,Mar
10,FLV NACIONAIS,796593.16,25.6388973277594%,SDB COMERCIO,Fev
09,FLV NACIONAIS,752091.2,37.2075523761211%,CHAMA,Mar
04,FLV NACIONAIS,745207.67,30.9351671868734%,CENTER SUPERMERCADOS,Jan
04,FLV NACIONAIS,714908.25,28.5961348898349%,MANFROI SUPERMERCADO,Mar
10,FLV NACIONAIS,708763.4,25.9141135173947%,ANGELONI CD- PORTO,Jan
14,ALIMENTOS INDUSTRIALIZADOS,675790.22,53.2931795180583%,MUFFATO CAMBE,Jan
04,FLV NACIONAIS,655167.140000001,29.9683926580511%,CENTER SUPERMERCADOS,Fev
09,FLV NACIONAIS,630040.5,35.0819576389904%,CHAMA,Jan
10,FLV NACIONAIS,608385.87,26.5844155109103%,ANGELONI CD- PORTO,Fev
09,FLV NACIONAIS,591445.57,35.9150727371064%,CHAMA,Fev
04,FLV NACIONAIS,587913.99,24.1912156062148%,CLIENTE PADRAO,Mar
09,FLV NACIONAIS,563238.7,27.4505022956237%,IRMAOS MUFFATO,Mar
14,ALIMENTOS INDUSTRIALIZADOS,556920,44.1191679373919%,SUPERMERCADOS KOCH,Fev
04,FLV NACIONAIS,556415.6,29.6845398177921%,MANFROI SUPERMERCADO,Fev
10,FLV NACIONAIS,556154.49,21.0885508769189%,COMPER,Abr
05,FLV NACIONAIS,550500.34,31.3481200091535%,QUELUZ,Mar
05,FLV NACIONAIS,540345.67,30.3324442448893%,QUELUZ,Jan
10,FLV NACIONAIS,526081.84,26.4202700490801%,ANGELONI CD- PORTO,Mar
13,FLV NACIONAIS,524938.64,21.2569608383182%,MESCHKE,Jan
13,FLV NACIONAIS,517933.56,24.3068970352105%,COSTAO DO SANTINHO,Mar
04,FLV NACIONAIS,500119.81,27.2950398513435%,MANFROI SUPERMERCADO,Jan
04,FLV NACIONAIS,500029.13,27.4790327528843%,AMAURI SUPERMERCADO,Mar
04,FLV NACIONAIS,498900.61,26.4651418926908%,CLIENTE PADRAO,Jan
09,FLV NACIONAIS,487426.35,21.9641935647234%,IRMAOS MUFFATO,Jan
12,FLV IMPORTADOS,466527.3,16.3945911311085%,TENDA ATACADO,Jan
05,FLV NACIONAIS,458275.99,30.725630872844%,QUELUZ,Fev
14,ALIMENTOS INDUSTRIALIZADOS,451492.6,50.9025266456459%,IRMAOS MUFFATO,Mar
13,FLV NACIONAIS,447323.87,23.0818552942413%,MESCHKE,Fev
15,FLV NACIONAIS,440190.82,11.7583686413877%,STOCK ATACADISTA,Mar
05,FLV NACIONAIS,437638.75,30.3688866780175%,IMPERIAL SUPERMERCAD,Mar
13,FLV NACIONAIS,435538.07,25.2560620016524%,COSTAO DO SANTINHO,Fev
13,FLV NACIONAIS,434939.09,28.1598026404111%,COSTAO DO SANTINHO,Jan
05,FLV NACIONAIS,432837.38,27.5994201577982%,COTRISAL,Mar
04,FLV NACIONAIS,431544.53,27.1413568282281%,CLIENTE PADRAO,Fev
09,FLV NACIONAIS,430842.65,25.916679379806%,IRMAOS MUFFATO,Fev
15,FLV NACIONAIS,428576.85,10.2197294823213%,STOCK ATACADISTA,Fev
13,FLV NACIONAIS,425392.23,23.5794603300582%,MESCHKE,Mar
05,FLV NACIONAIS,420871.84,25.1523065629044%,SDB COMERCIO DE ALIM,Mar
04,FLV NACIONAIS,418492.91,18.6533795208405%,NO PONTO,Abr
04,FLV NACIONAIS,415472.08,28.0550674892332%,AMAURI SUPERMERCADO,Fev
