CODFILIAL,FILIAL,SEGMENTO,FATURAMENTO,MARGEM,Mes
14,Cantu - Sao Jorge - Industria 2,ALIMENTOS INDUSTRIALIZADOS,4982679.51,46.1677213937106%,Jan
14,Cantu - Sao Jorge - Industria 2,ALIMENTOS INDUSTRIALIZADOS,4485347.15,45.2842109324944%,Fev
14,Cantu - Sao Jorge - Industria 2,ALIMENTOS INDUSTRIALIZADOS,5272719.53000001,47.8614197119135%,Mar
14,Cantu - Sao Jorge - Industria 2,ALIMENTOS INDUSTRIALIZADOS,396098.91,43.1454927851284%,Abr
21,Cantu - Cuiaba,ALIMENTOS INDUSTRIALIZADOS,603.25,42.6421019477828%,Jan
21,Cantu - Cuiaba,ALIMENTOS INDUSTRIALIZADOS,446.56,41.9483831959871%,Fev
12,Cantu - Sao Paulo,FLV IMPORTADOS,3863468.6,11.7333248946942%,Jan
12,Cantu - Sao Paulo,FLV IMPORTADOS,3458322.9,11.9480514826796%,Fev
12,Cantu - Sao Paulo,FLV IMPORTADOS,4974670.48,21.3947835533818%,Mar
12,Cantu - Sao Paulo,FLV IMPORTADOS,927677.05,1.58559042382659%,Abr
13,Cantu - Sao jose Ceasa,FLV IMPORTADOS,13515.1,16.9806614083507%,Jan
19,Cantu - Osasco,FLV IMPORTADOS,4862.4,28.1491730421191%,Mar
01,Cantu - Importados Vitorino,FLV IMPORTADOS,911698.32,23.8389653180451%,Jan
01,Cantu - Importados Vitorino,FLV IMPORTADOS,938470.84,-6.80158737803722%,Fev
01,Cantu - Importados Vitorino,FLV IMPORTADOS,669688,10.6937804604532%,Mar
01,Cantu - Importados Vitorino,FLV IMPORTADOS,146121,4.02384851595595%,Abr
11,Cantu - Curitiba,FLV IMPORTADOS,11400,38.541806173187%,Mar
03,Cristal Verde - Sao Jose,FLV NACIONAIS,2259465.6,2.8445664319917%,Jan
03,Cristal Verde - Sao Jose,FLV NACIONAIS,2163391,3.11954704443164%,Fev
03,Cristal Verde - Sao Jose,FLV NACIONAIS,2649883.4,4.29211338129066%,Mar
03,Cristal Verde - Sao Jose,FLV NACIONAIS,207120,-2.43337195828506%,Abr
04,Cantu - Vitorino,FLV NACIONAIS,10765081.52,26.067369794665%,Jan
04,Cantu - Vitorino,FLV NACIONAIS,10949278.67,27.9416273005563%,Fev
04,Cantu - Vitorino,FLV NACIONAIS,14014414.57,27.2421062149341%,Mar
04,Cantu - Vitorino,FLV NACIONAIS,2517947.95,24.7837261833076%,Abr
12,Cantu - Sao Paulo,FLV NACIONAIS,3280,11.6423670932808%,Jan
12,Cantu - Sao Paulo,FLV NACIONAIS,5390,6.6320560296846%,Fev
12,Cantu - Sao Paulo,FLV NACIONAIS,14265,22.4933534525061%,Mar
12,Cantu - Sao Paulo,FLV NACIONAIS,820,32.2107792682927%,Abr
13,Cantu - Sao jose Ceasa,FLV NACIONAIS,2036143.89,22.0310701307501%,Jan
13,Cantu - Sao jose Ceasa,FLV NACIONAIS,1784063.57,20.8730317718362%,Fev
13,Cantu - Sao jose Ceasa,FLV NACIONAIS,1929882.41,21.0147472136284%,Mar
13,Cantu - Sao jose Ceasa,FLV NACIONAIS,478569.1,22.3526240531982%,Abr
02,Cantu - Maringa,FLV NACIONAIS,806944.04,14.8323297169995%,Jan
02,Cantu - Maringa,FLV NACIONAIS,891308.36,16.8473409286627%,Fev
