CODFILIAL,FILIAL,SEGMENTO,FATURAMENTO,MARGEM,Mes
14,Cantu - Sao Jorge - Industria 2,ALIMENTOS INDUSTRIALIZADOS,4982679.510000004,0.46167721393710626,Jan
14,Cantu - Sao Jorge - Industria 2,ALIMENTOS INDUSTRIALIZADOS,4485347.150000002,0.45284210932494495,Fev
14,Cantu - Sao Jorge - Industria 2,ALIMENTOS INDUSTRIALIZADOS,5272719.530000009,0.4798572727807122,Mar
14,Cantu - Sao Jorge - Industria 2,ALIMENTOS INDUSTRIALIZADOS,712557.52,0.4399253221642745,Abr
21,Cantu - Cuiaba,ALIMENTOS INDUSTRIALIZADOS,603.25,0.4264210194778284,Jan
21,Cantu - Cuiaba,ALIMENTOS INDUSTRIALIZADOS,446.55999999999995,0.4194838319598707,Fev
12,Cantu - Sao Paulo,FLV IMPORTADOS,3863468.6000000006,0.11733324894694164,Jan
12,Cantu - Sao Paulo,FLV IMPORTADOS,3458322.9,0.11948051482679578,Fev
12,Cantu - Sao Paulo,FLV IMPORTADOS,4974670.4799999995,0.19369395469737272,Mar
12,Cantu - Sao Paulo,FLV IMPORTADOS,1253264.2700000003,0.1174676018654306,Abr
13,Cantu - Sao jose Ceasa,FLV IMPORTADOS,13515.1,0.1698066140835065,Jan
19,Cantu - Osasco,FLV IMPORTADOS,4862.4,0.28149173042119113,Mar
1,Cantu - Importados Vitorino,FLV IMPORTADOS,911698.32,0.23838965318045136,Jan
1,Cantu - Importados Vitorino,FLV IMPORTADOS,938470.84,-0.06801587378037222,Fev
1,Cantu - Importados Vitorino,FLV IMPORTADOS,669688.0,0.10693780460453228,Mar
1,Cantu - Importados Vitorino,FLV IMPORTADOS,330636.0,0.028378040594490783,Abr
11,Cantu - Curitiba,FLV IMPORTADOS,11400.0,0.38541806173186977,Mar
3,Cristal Verde - Sao Jose,FLV NACIONAIS,2259465.6,0.02844566431991702,Jan
3,Cristal Verde - Sao Jose,FLV NACIONAIS,2163391.0,0.031195470444316364,Fev
3,Cristal Verde - Sao Jose,FLV NACIONAIS,2649883.4,0.04292113381290663,Mar
3,Cristal Verde - Sao Jose,FLV NACIONAIS,207120.0,0.0,Abr
4,Cantu - Vitorino,FLV NACIONAIS,10765081.519999994,0.2606736979466504,Jan
4,Cantu - Vitorino,FLV NACIONAIS,10949278.669999987,0.2794162730055616,Fev
4,Cantu - Vitorino,FLV NACIONAIS,14014414.569999967,0.27295025252166416,Mar
4,Cantu - Vitorino,FLV NACIONAIS,3354571.9000000027,0.26378034640543435,Abr
12,Cantu - Sao Paulo,FLV NACIONAIS,3280.0,0.11642367093280837,Jan
12,Cantu - Sao Paulo,FLV NACIONAIS,5390.0,0.06632056029684597,Fev
12,Cantu - Sao Paulo,FLV NACIONAIS,14265.0,0.22247587031195248,Mar
12,Cantu - Sao Paulo,FLV NACIONAIS,820.0,0.7723592804878049,Abr
13,Cantu - Sao jose Ceasa,FLV NACIONAIS,2036143.8899999997,0.2203107013075003,Jan
13,Cantu - Sao jose Ceasa,FLV NACIONAIS,1784063.5699999994,0.20873031771836192,Fev
13,Cantu - Sao jose Ceasa,FLV NACIONAIS,1929882.4099999997,0.21014747213628437,Mar
13,Cantu - Sao jose Ceasa,FLV NACIONAIS,563235.93,0.22269377706755278,Abr
2,Cantu - Maringa,FLV NACIONAIS,806944.04,0.14832329716999515,Jan
2,Cantu - Maringa,FLV NACIONAIS,891308.3600000001,0.16847340928662702,Fev
